id,name,type,email,point,password,email_verified_at
31d070fb-57f4-4a65-a51f-02306c9ef15c,Brenda Page,0,xwilson@example.net,891358,123456789,2023-10-21 11:07:28.442195
c6daf56a-505d-4a39-ae88-298067cc9120,Sydney Martinez,0,pmitchell@example.com,254514,123456789,2024-08-28 06:36:13.948176
d8c5bfd4-19bc-496d-9ba4-b85ac5a30207,David Pierce,0,joycejoseph@example.net,510290,123456789,2024-05-11 00:16:18.640467
4b9a8490-4f88-4d1a-bc33-d001caba4ff6,Tiffany Foster,0,ericgill@example.org,216236,123456789,2024-07-28 21:31:14.338230
9205c32c-2a07-47ab-a419-6f15557eb351,David Schultz,0,joann10@example.net,560323,123456789,2024-08-03 13:22:33.995573
246d73d9-7da4-4235-9475-646b895c486c,Amy Boyd,0,haynesalexis@example.net,706004,123456789,2024-01-27 05:08:21.348545
e771c905-1b05-4aac-9666-caba78d1c2c7,Alexis Cameron,0,harveylisa@example.net,752020,123456789,2024-01-08 15:40:31.845427
4ddbc183-4669-4f16-8adf-2602c70f783f,Elizabeth Mason,0,bradley77@example.net,878581,123456789,2024-05-24 06:33:36.848521
d9b8c3b4-585a-4bf1-a5ba-1d1b2ea89958,Joseph Lyons,0,johnsonalexis@example.net,834946,123456789,2023-12-21 03:40:54.720744
fe262c23-90c2-4c9f-8bbb-7c1fce1d4465,Roger Aguirre,0,ufoster@example.net,754240,123456789,2024-06-05 08:11:30.983811
7805e89d-2f08-415a-b29d-04dc0a8f6c98,Nicole Finley,0,hollycox@example.com,326046,123456789,2023-12-18 03:11:06.851258
4f1e0e3e-4200-4c2b-9b0e-265ef8aafb75,Jeffrey Meyers,0,rmatthews@example.net,32755,123456789,2024-09-03 16:13:11.536592
35128c08-ea5b-44a5-a357-04128dfed34f,Anna Green,0,schultzrandall@example.org,352970,123456789,2024-05-20 05:34:03.362359
37af44b5-9ae5-4462-b122-804df1278ef0,Angela Peck,0,ojackson@example.net,578732,123456789,2024-05-20 01:41:57.019735
db6c3845-7b22-490d-9018-9316d2c26409,Tyler Davis,0,kevinwarren@example.com,464768,123456789,2024-04-21 22:15:44.183033
964a070c-4ef0-4462-88cc-0dc025b650e3,Anthony Bender,0,hansensteven@example.org,180318,123456789,2024-05-31 17:15:05.939302
b5311a1e-557a-4e37-92f4-d1b7592b9871,Brian Wilson,0,hartchase@example.net,446722,123456789,2024-09-14 02:39:21.676625
64d91d78-c11b-4d14-9153-6f4c1b4cf6e6,Suzanne Yates,0,carlgiles@example.net,117846,123456789,2024-02-14 19:39:01.073971
f2c9e8cb-d015-4e30-b35b-b7b1d21306e9,Maureen Parsons,0,mwatts@example.net,765178,123456789,2023-11-08 12:17:52.918308
92971a71-b9f6-43ec-b427-6e159005d393,Carrie Fox,0,daleodom@example.org,194590,123456789,2024-06-12 11:39:48.229153
0e0cefc0-70f6-4bd8-962f-f50e3994d7ef,Dawn Montes,0,baileyangela@example.net,621621,123456789,2024-05-03 17:45:46.868139
6f1e8784-73bf-46de-aed8-f5b8099357d2,Beth Fox,0,austinponce@example.org,945324,123456789,2024-03-27 12:21:46.398994
03e9c3f3-13fb-46e6-ab2b-226106a2910d,Susan Schultz,0,fharper@example.org,147630,123456789,2023-11-23 07:04:28.653939
952020da-ea34-4e13-a22f-45745ce602ec,Mike Thompson II,0,andrea38@example.net,139144,123456789,2024-02-22 18:23:31.228032
bfd75f8a-d4c8-4879-aa12-76d96320dd8e,Nicole Bridges,0,susan38@example.net,66701,123456789,2024-08-25 20:59:23.101951
06cea565-dd69-4f4e-9c59-fea31d9b5119,Kristen Chambers,0,morganmedina@example.org,786476,123456789,2023-11-22 22:48:12.354170
6f038257-c288-4190-9a35-7bc4f6df5ace,Annette Wu,0,kelseymartin@example.org,516565,123456789,2023-10-23 00:07:07.337548
